20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
40, 0, 0, 0, 0, 0, 0, 0, 0.625, 0.125, 0.25, 0, 0, 0, 0, 0, 0, 
60, 0, 0, 0, 0, 0, 0, 0.466667, 0.116667, 0.25, 0.0833333, 0.0833333, 0, 0, 0, 0, 0, 
80, 0, 0, 0, 0, 0, 0.3625, 0.1125, 0.2125, 0.125, 0.125, 0.0375, 0.025, 0, 0, 0, 0, 
100, 0, 0, 0, 0, 0.3, 0.09, 0.19, 0.14, 0.13, 0.07, 0.06, 0.01, 0.01, 0, 0, 0, 
120, 0, 0, 0, 0.25, 0.0833333, 0.158333, 0.141667, 0.133333, 0.0833333, 0.0833333, 0.0333333, 0.025, 0.00833333, 0, 0, 0, 
140, 0, 0, 0.214286, 0.0714286, 0.142857, 0.128571, 0.128571, 0.0928571, 0.0928571, 0.05, 0.05, 0.0142857, 0.0142857, 0, 0, 0, 
160, 0, 0.1875, 0.0625, 0.125, 0.11875, 0.11875, 0.1, 0.09375, 0.0625, 0.0625, 0.03125, 0.025, 0.00625, 0.00625, 0, 0, 
180, 0.166667, 0.0555556, 0.111111, 0.111111, 0.105556, 0.1, 0.0944444, 0.0722222, 0.0666667, 0.0444444, 0.0388889, 0.0166667, 0.0111111, 0.00555556, 0, 0, 
200, 0.2, 0.1, 0.1, 0.1, 0.095, 0.09, 0.075, 0.075, 0.05, 0.05, 0.025, 0.025, 0.01, 0.005, 0, 0, 
220, 0.227273, 0.136364, 0.0909091, 0.0909091, 0.0863636, 0.0772727, 0.0727273, 0.0590909, 0.0545455, 0.0363636, 0.0318182, 0.0181818, 0.0136364, 0.00454545, 0, 0, 
240, 0.25, 0.145833, 0.104167, 0.0833333, 0.075, 0.075, 0.0625, 0.0583333, 0.0416667, 0.0416667, 0.025, 0.0208333, 0.00833333, 0.00833333, 0, 0, 
260, 0.261538, 0.161538, 0.107692, 0.0807692, 0.0730769, 0.0653846, 0.0615385, 0.0461538, 0.0461538, 0.0307692, 0.0307692, 0.0153846, 0.0115385, 0.00384615, 0.00384615, 0, 
280, 0.267857, 0.171429, 0.114286, 0.0821429, 0.0678571, 0.0642857, 0.05, 0.05, 0.0357143, 0.0357143, 0.0214286, 0.0214286, 0.00714286, 0.00714286, 0.00357143, 0, 
300, 0.273333, 0.176667, 0.12, 0.0833333, 0.07, 0.0533333, 0.0533333, 0.04, 0.04, 0.0266667, 0.0266667, 0.0133333, 0.0133333, 0.00666667, 0.00333333, 0, 
320, 0.275, 0.184375, 0.121875, 0.0875, 0.065625, 0.05625, 0.04375, 0.04375, 0.03125, 0.03125, 0.01875, 0.01875, 0.009375, 0.009375, 0.003125, 0, 
340, 0.276471, 0.185294, 0.129412, 0.0882353, 0.0676471, 0.05, 0.0470588, 0.0352941, 0.0352941, 0.0235294, 0.0235294, 0.0147059, 0.0117647, 0.00588235, 0.00588235, 0, 
360, 0.275, 0.191667, 0.127778, 0.0944444, 0.0638889, 0.0555556, 0.0388889, 0.0388889, 0.0277778, 0.0277778, 0.0194444, 0.0166667, 0.00833333, 0.00833333, 0.00277778, 0.00277778, 
380, 0.273684, 0.192105, 0.134211, 0.0921053, 0.0710526, 0.0473684, 0.0447368, 0.0315789, 0.0315789, 0.0236842, 0.0210526, 0.0131579, 0.0105263, 0.00526316, 0.00526316, 0.00263158, 
